Fecha,i,j,Ng,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B09,B11,B12,H,S,L
2020-04-03,306,458,2,1759,1948,2557,1805,1586,1151,1160,1155,1116,1184,1138,1132,3650.2658333333334,1723.9799999999998,2181.0
2020-04-03,307,349,2,1861,2002,2579,1896,1741,1173,1178,1133,1100,1135,1106,1082,3591.996111111111,1526.257,2237.5
2020-04-03,309,353,2,1618,1802,2467,1620,1483,1106,1117,1080,1068,1100,1093,1077,3691.46,2072.425,2043.4999999999998
2020-04-03,313,346,2,2003,2077,2647,1981,1806,1185,1180,1146,1100,1167,1096,1076,3573.5736111111114,1439.067,2314.0
2020-04-03,314,453,2,1670,1902,2489,1671,1499,1122,1131,1130,1096,1167,1132,1112,3803.993611111111,1966.346,2080.0
2020-04-03,315,354,2,1590,1812,2424,1597,1454,1100,1101,1085,1080,1085,1085,1061,3766.626388888889,2056.7019999999998,2010.5
2020-04-03,318,348,2,1919,2042,2592,1962,1779,1186,1191,1189,1103,1130,1087,1081,3544.973611111111,1383.399,2277.0
2020-04-03,323,447,2,1690,1973,2496,1686,1520,1137,1158,1135,1105,1144,1115,1115,3923.868333333334,1936.872,2091.0
2020-04-03,324,352,2,1973,2256,2675,2003,1795,1197,1190,1172,1093,1137,1078,1065,3960.813611111111,1436.511,2339.0
2020-04-03,332,354,2,2196,2419,2811,2392,2147,1371,1384,1322,1163,1127,1064,1049,3440.7319444444443,805.3050000000001,2601.5
2020-04-03,332,440,2,1627,1779,2375,1576,1443,1102,1120,1118,1082,1098,1096,1081,3756.7794444444444,2022.273,1975.5
2020-04-03,338,435,2,1622,1848,2415,1622,1455,1105,1103,1097,1080,1067,1078,1065,3808.3227777777774,1964.33,2018.4999999999998
2020-04-03,341,366,2,1975,2186,2627,2095,1897,1218,1241,1175,1096,1077,1057,1045,3618.4211111111113,1126.641,2361.0
2020-04-03,341,402,2,1637,1867,2430,1622,1456,1086,1090,1073,1044,1073,1064,1058,3838.696388888889,1994.077,2026.0000000000002
2020-04-03,341,410,2,1659,1939,2540,1679,1513,1096,1104,1098,1060,1083,1066,1059,3836.624166666667,2040.768,2109.5
2020-04-03,342,425,2,1595,1823,2430,1580,1443,1102,1102,1107,1062,1061,1069,1052,3809.803888888889,2119.701,2005.0
2020-04-03,344,391,2,1641,1863,2417,1651,1481,1088,1094,1090,1057,1054,1053,1047,3794.603888888889,1882.9889999999998,2034.0
2020-04-03,344,417,2,1749,1959,2564,1717,1546,1097,1120,1112,1058,1080,1062,1056,3809.5238888888894,1978.51,2140.5
2020-04-03,346,373,2,1941,2153,2675,2113,1923,1211,1227,1186,1089,1089,1062,1053,3451.9572222222223,1173.768,2394.0
2020-04-03,349,424,2,1974,2178,2645,2116,1974,1255,1258,1195,1109,1135,1060,1058,3528.6705555555554,1111.111,2380.5
2020-04-03,351,379,2,1987,2213,2701,2108,1893,1212,1221,1178,1096,1083,1060,1049,3628.443055555556,1233.105,2404.5
2020-04-03,105,666,3,2274,2491,3098,3730,3762,3828,3934,4079,4028,4095,4930,4718,816.5186111111112,1991.6409999999998,3110.5
2020-04-03,107,647,3,2299,2504,3119,3814,3863,3984,4053,4168,4153,4217,5088,4837,782.4427777777778,2073.4410000000003,3159.0
2020-04-03,111,627,3,2320,2520,3163,3873,3965,4069,4208,4318,4286,4417,5279,4984,792.0669444444445,2116.377,3196.5
2020-04-03,119,639,3,2292,2504,3087,3741,3820,3933,4049,4138,4136,4221,5156,4883,785.5024999999999,1980.7849999999999,3122.5
2020-04-03,121,657,3,2288,2541,3148,3796,3805,3901,4009,4185,4066,4112,5043,4814,806.1088888888889,1980.432,3168.5
2020-04-03,124,619,3,2286,2506,3135,3782,3843,3939,4051,4236,4204,4304,5339,5129,821.5777777777778,2029.262,3144.0
2020-04-03,135,630,3,2271,2583,3154,3866,3899,3995,4109,4349,4249,4239,5315,5051,741.7511111111112,1989.456,3224.4999999999995
2020-04-03,138,607,3,2307,2526,3154,3841,3900,3980,4095,4257,4256,4350,5442,5189,795.9441666666667,2065.337,3183.5
2020-04-03,138,648,3,2312,2495,3065,3673,3763,3847,3941,4025,4053,4168,5081,4821,806.4516666666667,1909.857,3084.0
2020-04-03,152,590,3,2309,2629,3277,3928,3943,4052,4174,4349,4294,4339,5407,5091,831.4088888888889,1981.089,3278.4999999999995
2020-04-03,152,618,3,2311,2522,3102,3798,3861,3948,4090,4241,4269,4342,5444,5214,757.5758333333333,2018.9869999999999,3160.0
2020-04-03,152,642,3,2258,2456,3036,3636,3669,3758,3869,4030,3973,4095,5073,4847,819.2091666666668,1936.9669999999999,3046.0
2020-04-03,165,605,3,2333,2581,3150,3759,3825,3904,4041,4175,4145,4248,5261,4968,805.0366666666667,1858.0439999999999,3170.0
2020-04-03,168,627,3,2320,2533,3082,3686,3759,3811,3959,4142,4129,4262,5267,5061,793.5819444444445,1853.996,3109.5
2020-04-03,169,568,3,2317,2706,3325,3969,4003,4069,4219,4389,4304,4243,5286,4992,816.8383333333334,1892.135,3337.5
2020-04-03,175,612,3,2353,2629,3189,3793,3843,3922,4041,4178,4169,4253,5221,4976,801.8327777777778,1812.519,3211.0
2020-04-03,181,585,3,2305,2550,3124,3689,3779,3856,3977,4067,4095,4165,5140,4887,839.9180555555556,1825.6129999999998,3119.5
2020-04-03,186,568,3,2355,2605,3227,3848,3890,3954,4090,4318,4188,4246,5208,4904,834.0038888888889,1926.236,3226.5
2020-04-03,164,876,4,4222,4938,5614,6149,6144,6112,6066,6127,5999,7429,6314,5697,930.3605555555556,1358.69,5543.5
2020-04-03,167,863,4,4337,5326,5938,6295,6199,6153,6083,6216,6045,7568,6440,5815,1052.6316666666667,1156.463,5810.5
2020-04-03,168,802,4,4507,5004,5605,6085,6188,6147,6119,6084,6044,7703,6497,5843,926.6111111111111,1213.107,5544.5
2020-04-03,174,791,4,4423,5278,5942,6318,6310,6234,6192,6338,6137,7518,6494,5910,1064.1025,1237.5059999999999,5798.0
2020-04-03,174,812,4,4771,5714,6213,6532,6444,6371,6354,6587,6275,7880,6833,6245,1016.7075,1054.939,6123.0
2020-04-03,176,935,4,4493,5271,5824,6277,6304,6250,6199,6221,6142,7577,6475,5858,916.1697222222222,1190.251,5774.0
2020-04-03,177,846,4,4792,5863,6528,6609,6559,6470,6413,6512,6412,7896,6973,6341,1485.701388888889,990.967,6236.0
2020-04-03,177,943,4,4629,5383,5946,6363,6344,6283,6238,6310,6174,7714,6574,5988,957.4830555555556,1187.3029999999999,5873.0
2020-04-03,181,829,4,4789,5433,5946,6249,6261,6204,6166,6333,6084,7812,6631,6055,1047.7941666666668,981.005,5841.0
2020-04-03,183,928,4,4641,5403,5920,6331,6396,6341,6312,6263,6229,7671,6605,5978,928.5200000000001,1122.671,5867.0
2020-04-03,185,950,4,4619,5302,5876,6363,6331,6284,6247,6366,6153,7785,6579,5926,901.6650000000001,1272.945,5832.5
2020-04-03,187,822,4,4625,5212,5846,6254,6216,6157,6113,6202,6046,7674,6378,5773,1014.0755555555556,1220.998,5733.0
2020-04-03,188,789,4,4558,5486,6113,6559,6496,6468,6418,6554,6341,7768,6733,6054,973.9050000000001,1348.837,6022.5
2020-04-03,189,809,4,4673,5221,5780,6003,6088,5991,5988,6047,5922,7768,6416,5815,1191.3897222222224,891.067,5612.0
2020-04-03,190,911,4,4448,5177,5767,6190,6163,6083,6043,6150,5990,7465,6354,5767,970.7141666666666,1173.404,5683.5
2020-04-03,190,939,4,4654,5205,5789,6213,6286,6208,6152,6188,6089,7760,6533,5872,965.6083333333332,1174.551,5709.0
2020-04-03,191,899,4,4403,4931,5507,5926,6012,5953,5927,5943,5828,7480,6255,5675,964.8241666666665,1088.2640000000001,5428.5
2020-04-03,198,799,4,4672,5378,5990,6431,6376,6326,6263,6418,6181,7802,6590,5933,968.6608333333332,1285.557,5904.5
2020-04-03,199,949,4,4669,5370,5977,6472,6462,6398,6319,6404,6273,7846,6643,5992,918.0277777777778,1350.821,5921.0
2020-04-03,200,913,4,4686,5429,5968,6454,6369,6292,6251,6333,6165,7794,6559,5926,876.4227777777778,1262.782,5941.5
2020-04-03,204,899,4,4901,5692,6309,6719,6759,6711,6663,6709,6627,8112,7064,6405,1001.2983333333334,1353.2740000000001,6205.5
2020-04-03,206,883,4,4691,5517,6091,6495,6422,6353,6309,6437,6212,7888,6563,5926,978.1866666666667,1224.337,6006.0
2020-04-03,207,809,4,4787,5446,5981,6400,6412,6331,6289,6338,6205,7808,6559,5930,934.661111111111,1169.978,5923.0
2020-04-03,209,790,4,4663,5464,6082,6532,6487,6434,6378,6535,6309,7754,6586,5872,964.4194444444444,1334.333,5998.0
2020-04-03,209,818,4,4721,5306,5916,6304,6340,6308,6254,6282,6172,7789,6559,5894,1018.7041666666667,1189.511,5805.0
2020-04-03,212,866,4,4671,5517,6073,6577,6548,6492,6426,6498,6346,7910,6633,5971,874.2138888888888,1340.754,6047.0
2020-04-03,212,944,4,4632,5495,6073,6527,6508,6428,6399,6521,6318,7785,6726,6025,933.4625,1293.557,6011.0
2020-04-03,213,908,4,4906,5740,6283,6673,6631,6553,6500,6634,6397,8053,6760,6094,969.9891666666666,1229.735,6206.5
2020-04-03,215,885,4,4816,5609,6253,6728,6670,6595,6547,6634,6503,8080,6771,6115,959.1897222222223,1460.264,6168.5
